;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
263;35;8;2021;1;13;V;25;V;33;V;33;V;53;V;37;V;37;V;28;V;21;V;22;V;44;V;78;V;103;V;115;V;111;V;114;V;101;V;95;V;76;V;72;V;20;V;17;V;14;V;12;V;16;V;21;V;33;V;25;V;24;V;10;V;10;V
264;35;8;2021;2;19;V;21;V;33;V;37;V;34;V;28;V;12;V;15;V;22;V;19;V;34;V;25;V;31;V;36;V;30;V;43;V;55;V;49;V;52;V;33;V;14;V;31;V;47;V;54;V;47;V;40;V;33;V;16;V;0;N;0;N;0;N
265;35;8;2021;3;41;V;36;V;49;V;51;V;40;V;22;V;21;V;40;V;25;V;40;V;31;V;26;V;33;V;25;V;29;V;22;V;19;V;24;V;20;V;17;V;20;V;37;V;51;V;46;V;48;V;38;V;24;V;20;V;31;V;31;V;33;V
266;35;8;2021;4;19;V;14;V;29;V;24;V;29;V;47;V;23;V;23;V;31;V;16;V;14;V;28;V;40;V;28;V;22;V;27;V;16;V;16;V;41;V;31;V;24;V;26;V;24;V;17;V;23;V;27;V;34;V;26;V;15;V;22;V;0;N
267;35;8;2021;5;16;V;17;V;16;V;27;V;34;V;35;V;27;V;29;V;14;V;13;V;12;V;12;V;13;V;15;V;14;V;9;V;18;V;25;V;22;V;26;V;39;V;13;V;11;V;17;V;23;V;22;V;28;V;29;V;23;V;13;V;21;V
268;35;8;2021;6;17;V;25;V;21;V;26;V;17;V;23;V;26;V;30;V;33;V;23;V;27;V;13;V;15;V;25;V;21;V;21;V;22;V;20;V;13;V;8;V;11;V;24;V;18;V;21;V;27;V;25;V;10;V;16;V;22;V;21;V;0;N
269;35;8;2021;7;30;V;33;V;13;V;9;V;15;V;16;V;20;V;22;V;29;V;31;V;19;V;14;V;14;V;20;V;22;V;36;V;23;V;15;V;25;V;35;V;32;V;33;V;41;V;15;V;13;V;21;V;23;V;26;V;20;V;17;V;11;V
270;35;8;2021;8;9;V;17;V;24;V;14;V;25;V;15;V;10;V;13;V;18;V;23;V;36;V;21;V;45;V;44;V;22;V;27;V;16;V;18;V;21;V;20;V;30;V;28;V;27;V;21;V;19;V;32;V;33;V;17;V;12;V;13;V;24;V
271;35;8;2021;9;25;V;31;V;29;V;29;V;33;V;39;V;31;V;17;V;17;V;18;V;20;V;35;V;41;V;25;V;24;V;39;V;31;V;23;V;22;V;25;V;19;V;25;V;24;V;34;V;21;V;17;V;52;V;40;V;40;V;35;V;0;N
272;35;8;2021;10;42;V;37;V;18;V;28;V;33;V;40;V;51;V;54;V;39;V;31;V;37;V;35;V;46;V;47;V;51;V;57;V;32;V;42;V;47;V;38;V;35;V;29;V;31;V;40;V;59;V;48;V;60;V;54;V;46;V;21;V;16;V
273;35;8;2021;11;20;V;26;V;29;V;43;V;37;V;36;V;49;V;54;V;54;V;50;V;73;V;56;V;49;V;42;V;40;V;51;V;43;V;51;V;47;V;44;V;38;V;42;V;44;V;36;V;47;V;54;V;30;V;21;V;35;V;60;V;0;N
274;35;8;2021;12;48;V;39;V;45;V;37;V;27;V;31;V;38;V;26;V;30;V;31;V;46;V;49;V;53;V;59;V;69;V;58;V;58;V;48;V;38;V;60;V;59;V;44;V;51;V;36;V;23;V;23;V;13;V;19;V;43;V;54;V;52;V
275;35;14;2021;1;58;V;47;V;34;V;40;V;21;V;29;V;27;V;36;V;48;V;49;V;29;V;12;V;5;V;3;V;4;V;3;V;7;V;5;V;10;V;11;V;47;V;58;V;54;V;60;V;42;V;28;V;17;V;15;V;18;V;49;V;60;V
276;35;14;2021;2;48;V;35;V;22;V;29;V;27;V;37;V;50;V;53;V;54;V;58;V;26;V;44;V;44;V;29;V;45;V;32;V;23;V;19;V;20;V;40;V;56;V;53;V;27;V;31;V;31;V;30;V;41;V;60;V;0;N;0;N;0;N
